Rat_symbol	ISG
Arfgef3	0
RGD1560303	0
Perp	0
Tnfaip3	0
Olig3	0
Ifngr1	0
Il22ra2	0
Il20ra	0
Slc35d3	0
Pex7	0
Map3k5	0
Map7	0
Bclaf1	0
Pde7b	0
Ahi1	0
Myb	0
Hbs1l	0
Aldh8a1	0
Themis	0
Lama2	0
Arhgap18	0
Samd3	0
Tmem200a	0
RGD1559962	0
Epb41l2	0
Akap7	0
Arg1	0
Med23	0
Enpp3	0
Enpp1	0
Ccn2	0
Moxd1	0
Stx7	0
Taar9	0
Taar8b	0
Taar8a	0
Taar7h	0
Taar7g	0
Taar7e	0
Taar7d	0
Taar7c	0
Taar7b	0
Taar6	0
Taar5	0
Taar4	0
Taar3	0
Taar2	0
Taar1	0
Vnn1	0
Vnn3	0
Slc18b1	0
Rps12	0
Eya4	0
Tcf21	0
Tbpl1	0
Slc2a12	0
Sgk1	0
LOC100365542	0
Clvs2	0
Trdn	0
Nkain2	0
Rnf217	0
Tpd52l1	0
Hddc2	0
Hey2	0
Hint3	0
Trmt11	0
Cenpw	0
Rspo3	0
Rnf146	0
Echdc1	0
Kiaa0408L	0
Soga3	0
LOC100910528	0
RGD1311933	0
Lrrc14b	0
Ccdc127	0
Sdha	0
Pdcd6	0
Ahrr	0
Exoc3	0
Slc9a3	0
Cep72	0
Tppp	0
Zdhhc11	0
Brd9	0
Trip13	0
Nkd2	0
Slc12a7	0
Slc6a19	0
Slc6a18	0
Tert	0
Clptm1l	0
Slc6a3	0
Lpcat1	0
Mrpl36	0
LOC679739	0
Irx4	0
Irx2	0
Irx1	0
Adamts16	0
Ube2ql1	0
Nsun2	0
Srd5a1	0
Tent4a	0
Adcy2	0
RGD1308544	0
Fastkd3	0
Mtrr	0
LOC680200	0
LOC102549842	0
LOC102547287	0
LOC102551340	0
LOC501406	0
Ppp1r14c	0
Iyd	0
Plekhg1	0
Mthfd1l	0
Zbtb2	0
Rmnd1	0
Armt1	0
Ccdc170	0
Esr1	0
Vip	0
Fbxo5	0
Mtrf1l	0
Rgs17	0
AABR07001416.1	0
Oprm1	0
Cnksr3	0
Scaf8	0
Tiam2	0
Tfb1m	0
Nox3	0
Arid1b	0
Tmem242	0
Zdhhc14	0
Snx9	0
Synj2	0
Serac1	0
Gtf2h5	0
Tulp4	0
Tmem181	0
Dynlt1	0
Sytl3	0
Ezr	0
Rsph3	0
Tagap	0
Fndc1	0
Sod2	0
Wtap	0
Acat2	0
Acat2l1	0
Tcp1	0
Mrpl18	0
Pnldc1	0
Mas1	0
Igf2r	0
Slc22a1	0
Slc22a2	0
Slc22a3	0
Plg	0
AABR07001512.1	0
Map3k4	0
Agpat4	0
AABR07001519.1	0
LOC108348175	0
Pabpc6	0
MGC94891	0
Pde10a	0
Tbxt	0
T2	0
Sft2d1	0
Mpc1	0
Ccr6	0
Rnaset2	0
Rps6ka2	0
Tcp10b	0
Ttll2	0
Unc93a	0
Afdn	0
AABR07001592.2	0
RGD1560718	0
Smok2a	0
Dact2	0
Smoc2	0
Thbs2	0
Wdr27	0
LOC100125364	0
Phf10	0
Ermard	0
Dll1	0
Fam120b	0
Psmb1	0
Tbp	0
Pdcd2	0
Prdm9	0
Chd1	0
Rgmb	0
Riok2	0
Lix1	0
Lnpep	0
Spaca6	0
Has1	0
Fpr-rs3	0
Vom1r6	0
Vom1r7	0
Vom1r9	0
Vom1r11	0
Vom1r12	0
Vom1r15	0
Ppp2r1a	0
LOC100365363	0
LOC102552527	0
Zfp54	0
AABR07001896.1	0
Zfp52	0
Vom1r23	0
AABR07001910.1	0
LOC102555377	0
AABR07001926.3	0
Zfp40	0
LOC682419	0
Vom1r110	0
Zik1	0
Vom2r26	0
Lilrb2	0
Lilrb3a	0
Rps9	0
Tsen34	0
Mboat7l1	0
Tmc4	0
Pirb	0
Tsen34l1	0
Mboat7	0
Leng1	0
Cnot3	0
Prpf31	0
Tfpt	0
Ndufa3	0
Oscar	0
Cacng6	0
Cacng8	0
Cacng7	0
Prkcg	0
Myadm	0
Nlrp12	0
LOC292543	0
LOC103691005	0
Vom2r12	0
Vom2r80	0
Vom2r19	0
Mzf1	0
Ube2m	0
Chmp2a	0
Trim28	0
Zbtb45	0
Slc27a5	0
AABR07002065.2	0
Zfp324	0
Rnf225	0
Rps5	0
Zscan22	0
Zfp128	0
Zfp110	0
Zfp329	0
Zscan18	0
Vom2r35	0
Vom2r33	0
AABR07002093.1	0
Zfp606	0
AABR07002093.2	0
LOC100909481	0
LOC100365062	0
Vom1r57	0
Zfp551	0
AABR07002140.2	0
Vom1r47	0
Vom1r45	0
Vom1r44	0
Vom1r41	0
LOC108348133	0
LOC100911224	0
LOC108348118	0
Nlrp4a	0
AABR07002241.1	0
Vom2r28	0
Zfp772	0
Hiatl3	0
Zfp773-ps1	0
Zfp954	0
Aurkc	0
Usp29	0
Peg3	0
Zim1	0
Olr3	0
Olr4	0
Olr6	0
Olr7	0
Olr8	0
Smim17	0
Zfp28	0
Zfp78	0
Zfp583	0
Zfp667	0
Zscan5b	0
Galp	0
Zfp444	0
Zfp787	0
Nlrp5	0
Nlrp4	0
LOC691325	0
Obox2	0
Vom1r32	0
Nlrp9	0
Vom1r35	0
Vom1r37	0
Rasl2-9	0
Epn1	0
U2af2	0
Ccdc106	0
Zfp580	0
Zfp865	0
LOC100911196	0
Fiz1	0
Zfp579	0
Sbk3	0
Sbk2	0
Ssc5d	0
Nat14	0
Zfp628	0
LOC684270	0
Isoc2b	0
Shisa7	0
Ube2s	0
Rpl28	0
Tmem190	0
Il11	0
Fam71e2	0
Kmt5c	0
Tmem150b	0
Brsk1	0
Hspbp1	0
Ptprh	0
Syt5	0
Tnni3	0
Tnnt1	0
Ppp1r12c	0
Eps8l1	0
Rdh13	0
Nlrp2	0
Ncr1	0
Kir3dl1	0
Lilrb4	0
Lilra5	0
Leng8	0
Ttyh1	0
Nlrp4b	0
LOC100912013	0
Vom2r29	0
AABR07002467.1	0
AABR07002473.1	0
Vom2r31	0
Vom1r61	0
Vom1r62	0
Zswim9	0
Lig1	0
Pla2g4c	0
Cabp5	0
Sult2a1	0
AABR07002622.1	0
Crx	0
Rpl9	0
Nop53	0
Ehd2	0
Bicra	0
Zfp541	0
Napa	0
Slc8a2	0
Meis3	0
Dhx34	0
C5ar2	0
Ccdc9	0
Sae1	0
Zc3h4	0
Tmem160	0
Npas1	0
Arhgap35	0
LOC108349752	0
Ceacam9	0
Ap2s1	0
AC127887.1	0
Slc1a5	0
Fkrp	0
Strn4	0
Prkd2	0
Dact3	0
Gng8	0
Ptgir	0
Calm2	0
Pnma8b	0
Pnma8a	0
Ccdc8	0
Ppp5c	0
Hif3a	0
Cgm4	0
Ceacam3	0
Psg29	0
LOC102557244	0
Ceacam11	0
Ceacam12	0
AC093995.2	0
Mill1	0
LOC102557319	0
AC093995.1	0
Micb	0
Pglyrp1	0
Ccdc61	0
Nova2	0
Nanos2	0
Mypop	0
Irf2bp1	0
Foxa3	0
Sympk	0
Rsph6a	0
Six5	0
Fbxo46	0
Qpctl	0
Snrpd2	0
Gipr	0
Eml2	0
Gpr4	0
Vasp	0
Rtn2	0
Fosb	0
Ercc1	0
Ppp1r13l	0
Ercc2	0
Klc3	0
Ckm	0
Mark4	0
Exoc3l2	0
Bloc1s3	0
Trappc6a	0
Nkpd1	0
Ppp1r37	0
Gemin7	0
Zfp296	0
Clasrp	0
Relb	0
Clptm1	0
Apoc2	0
Apoc4	0
Apoe	0
Tomm40	0
Nectin2	0
Bcam	0
Cblc	0
Ceacam16	0
Ceacam19	0
Pvr	0
Igsf23	0
Ceacam20	0
Zfp180	0
