group	SYMBOL.Mm	Species
Brain	Napb	Rat
Ileum	Cytip	Rat
Brain	Crmp1	Rat
Brain	Fam171b	Rat
Brain	Rtn1	Rat
Quadriceps	Myf6	Rat
Esophagus	Myf6	Rat
Liver	Ebp	Rat
Kidney	Slc22a22	Rat
Duodenum	Upp1	Rat
Jejunum	Upp1	Rat
Heart	Crip2	Rat
Brain	Atl1	Rat
Brain	Kif5a	Rat
Brain	Slc4a10	Rat
Brain	Cnrip1	Rat
Brain	Csdc2	Rat
Brain	Vsnl1	Rat
Kidney	Slc12a1	Rat
Brain	Rasgrp1	Rat
Colon	Creb3l1	Rat
Liver	Rida	Rat
Kidney	Rida	Rat
Brain	Pcsk2	Rat
Brain	Lamp5	Rat
Brain	Slc1a2	Rat
Brain	Brinp1	Rat
Brain	Neurod1	Rat
Brain	Car8	Rat
Brain	Nsg1	Rat
Pancreas	Erp27	Rat
Liver	Slc10a1	Rat
Ileum	Arhgdib	Rat
Duodenum	Lyz2	Rat
Jejunum	Lyz2	Rat
Ileum	Lyz2	Rat
Duodenum	Lyz1	Rat
Jejunum	Lyz1	Rat
Ileum	Lyz1	Rat
Kidney	Kap	Rat
Ileum	Tcf7	Rat
Liver	Nnmt	Rat
Liver	Cpq	Rat
Kidney	Cpq	Rat
Esophagus	Slurp1	Rat
Duodenum	Slc4a7	Rat
Jejunum	Slc4a7	Rat
Brain	Arl8a	Rat
Brain	Snap25	Rat
Brain	Fez1	Rat
Brain	Nell2	Rat
Brain	Gpr37l1	Rat
Brain	Trim37	Rat
Kidney	Gclc	Rat
Liver	Elovl5	Rat
Pancreas	Reg3a	Rat
Brain	Alg2	Rat
Liver	Pygl	Rat
Brain	Syt1	Rat
Duodenum	Reg1	Rat
Jejunum	Reg1	Rat
Pancreas	Reg1	Rat
Kidney	Thnsl2	Rat
Brain	Slc6a1	Rat
Brain	Cyfip2	Rat
Duodenum	Reg3g	Rat
Jejunum	Reg3g	Rat
Ileum	Reg3g	Rat
Brain	Thy1	Rat
Liver	Cd302	Rat
Liver	Slc38a4	Rat
Liver	Pzp	Rat
Colon	Tgm3	Rat
Esophagus	Tgm3	Rat
Brain	Sh3gl2	Rat
Esophagus	Neb	Rat
Quadriceps	Neb	Rat
Liver	Dhcr24	Rat
Kidney	Apmap	Rat
Brain	Hdac11	Rat
Stomach	Psapl1	Rat
Esophagus	Psapl1	Rat
Liver	Ambp	Rat
Esophagus	Casq1	Rat
Quadriceps	Casq1	Rat
Brain	Gria4	Rat
Brain	Stk32c	Rat
Stomach	Ctse	Rat
Brain	Hpca	Rat
Brain	Vamp2	Rat
Kidney	Slc3a1	Rat
Kidney	Kif12	Rat
Kidney	Lgmn	Rat
Liver	Fgb	Rat
Brain	Itpr1	Rat
Liver	Ttpa	Rat
Brain	B3gat1	Rat
Brain	Cyp46a1	Rat
Duodenum	Leap2	Rat
Jejunum	Leap2	Rat
Liver	Leap2	Rat
Brain	Ly6h	Rat
Colon	Rac2	Rat
Ileum	Rac2	Rat
Pancreas	Ggh	Rat
Brain	Septin4	Rat
Liver	Acox2	Rat
Kidney	Ndrg1	Rat
Liver	Baat	Rat
Brain	Calb1	Rat
Kidney	Calb1	Rat
Liver	Serping1	Rat
Quadriceps	Klhl41	Rat
Esophagus	Klhl41	Rat
Ileum	Ace3	Rat
Duodenum	Ace3	Rat
Jejunum	Ace3	Rat
Colon	Hoxb13	Rat
Quadriceps	Smtnl1	Rat
Esophagus	Smtnl1	Rat
Esophagus	Tmem43	Rat
Esophagus	Fhl3	Rat
Brain	Scg5	Rat
Heart	Ehd4	Rat
Kidney	Rhpn1	Rat
Liver	Inhbe	Rat
Esophagus	Mss51	Rat
Quadriceps	Mss51	Rat
Liver	C8b	Rat
Brain	Septin3	Rat
Quadriceps	Sema7a	Rat
Brain	Sema7a	Rat
Liver	C8a	Rat
Esophagus	Tlcd3a	Rat
Brain	Arhgef9	Rat
Esophagus	Tacstd2	Rat
Liver	Mgst1	Rat
Brain	Nap1l5	Rat
Brain	Wscd1	Rat
Liver	Orm1	Rat
Liver	Orm3	Rat
Liver	Orm2	Rat
