group	SYMBOL.Mm	Species
Brain	Gng3	Rat
Liver	Lcat	Rat
Brain	Ptprn	Rat
Liver	Slc27a5	Rat
Esophagus	Mybpc2	Rat
Quadriceps	Mybpc2	Rat
Kidney	Pgpep1	Rat
Kidney	Aspa	Rat
Liver	Mst1	Rat
Liver	Proz	Rat
Esophagus	Actn3	Rat
Quadriceps	Actn3	Rat
Duodenum	Ncoa4	Rat
Jejunum	Ncoa4	Rat
Esophagus	Sypl2	Rat
Quadriceps	Sypl2	Rat
Kidney	Napsa	Rat
Esophagus	Pinlyp	Rat
Pancreas	Sycn	Rat
Kidney	Folr1	Rat
Esophagus	Thop1	Rat
Brain	Kcnc3	Rat
Colon	Tgfb1i1	Rat
Esophagus	Lypd3	Rat
Kidney	Slc5a2	Rat
Liver	Atf5	Rat
Esophagus	Tgm1	Rat
Colon	Scgb1a1	Rat
Brain	Asrgl1	Rat
Kidney	Asrgl1	Rat
Brain	Cnih2	Rat
Brain	Ina	Rat
Esophagus	Art1	Rat
Quadriceps	Art1	Rat
Brain	Atp1a3	Rat
Esophagus	Tnni2	Rat
Quadriceps	Tnni2	Rat
Brain	Cntnap1	Rat
Brain	Syt11	Rat
Brain	Klc2	Rat
Esophagus	Tnnt3	Rat
Quadriceps	Tnnt3	Rat
Stomach	Lgals7	Rat
Esophagus	Lgals7	Rat
Pancreas	Ins2	Rat
Stomach	Tmed6	Rat
Pancreas	Tmed6	Rat
Brain	Atcay	Rat
Brain	Matk	Rat
Liver	Fads2	Rat
Stomach	Cnfn	Rat
Esophagus	Cnfn	Rat
Colon	Slc50a1	Rat
Esophagus	Ryr1	Rat
Quadriceps	Ryr1	Rat
Brain	Pip5k1c	Rat
Brain	Nsg2	Rat
Brain	Slc17a7	Rat
Colon	Atp12a	Rat
Brain	Icam5	Rat
Brain	Rnd2	Rat
Ileum	Cd37	Rat
Brain	Lin7b	Rat
Heart	Nkx2-5	Rat
Liver	Cyp2a22	Rat
Liver	Cyp2a12	Rat
Brain	Cspg5	Rat
Brain	Aplp1	Rat
Ileum	Ms4a10	Rat
Duodenum	Ms4a10	Rat
Jejunum	Ms4a10	Rat
Kidney	Pth1r	Rat
Esophagus	Hsd17b14	Rat
Esophagus	Myl3	Rat
Heart	Myl3	Rat
Brain	Rundc3a	Rat
Stomach	Atp4a	Rat
Kidney	Oosp1	Rat
Duodenum	Naaladl1	Rat
Jejunum	Naaladl1	Rat
Ileum	Naaladl1	Rat
Stomach	Cblif	Rat
Stomach	Sbsn	Rat
Esophagus	Sbsn	Rat
Brain	Car11	Rat
Brain	Mag	Rat
Liver	Hamp	Rat
Esophagus	Tmod4	Rat
Quadriceps	Tmod4	Rat
Kidney	Hpn	Rat
Liver	Hpn	Rat
Brain	Nrxn2	Rat
Kidney	Slc22a12	Rat
Esophagus	Anxa9	Rat
Esophagus	Ecm1	Rat
Brain	Sv2a	Rat
Brain	Rtn3	Rat
Brain	Prnp	Rat
Brain	Chgb	Rat
Liver	Timd2	Rat
Liver	Cyp2c29	Rat
Liver	Cyp2c38	Rat
Liver	Cyp2c39	Rat
Brain	Negr1	Rat
Brain	Ermn	Rat
Stomach	Cela3a	Rat
Pancreas	Cela3a	Rat
Stomach	Cela3b	Rat
Pancreas	Cela3b	Rat
Brain	Vxn	Rat
Ileum	Ptprcap	Rat
Colon	Ffar4	Rat
Esophagus	Trim29	Rat
Kidney	Slc16a12	Rat
Liver	Cyp2c70	Rat
Esophagus	Crabp2	Rat
Esophagus	Alox12b	Rat
Brain	Fbxl16	Rat
Esophagus	Klk9	Rat
Esophagus	Klk13	Rat
Brain	Opalin	Rat
Ileum	2010106E10Rik	Rat
Duodenum	2010106E10Rik	Rat
Jejunum	2010106E10Rik	Rat
Brain	Tmem59l	Rat
Kidney	Atp6v1g3	Rat
Ileum	Ceacam18	Rat
Duodenum	Ceacam18	Rat
Jejunum	Ceacam18	Rat
Esophagus	Vsig10l	Rat
Esophagus	Hspb1	Rat
Kidney	Dhtkd1	Rat
Liver	Dhtkd1	Rat
Kidney	Dmgdh	Rat
Liver	Dmgdh	Rat
Brain	Snap91	Rat
Esophagus	Lce1a1	Rat
Esophagus	Lce1b	Rat
Brain	Nrsn2	Rat
Brain	Kif1a	Rat
Stomach	Sprr1a	Rat
Esophagus	Sprr1a	Rat
Stomach	Sprr3	Rat
Esophagus	Sprr3	Rat
Quadriceps	Phkb	Rat
Esophagus	Scel	Rat
Brain	Cadm4	Rat
Colon	Plet1	Rat
Brain	Cbarp	Rat
Liver	Cpn2	Rat
Kidney	Mro	Rat
Liver	Gamt	Rat
Ileum	Igsf23	Rat
Duodenum	Igsf23	Rat
Jejunum	Igsf23	Rat
Stomach	Mfsd4a	Rat
Liver	Rarres2	Rat
Liver	Fga	Rat
Kidney	Slc7a13	Rat
Brain	Nnat	Rat
Duodenum	Fabp2	Rat
Jejunum	Fabp2	Rat
Ileum	Fabp2	Rat
Esophagus	Teddm3	Rat
Liver	Fgg	Rat
Brain	Tmem130	Rat
Ileum	Limd2	Rat
Brain	AI593442	Rat
Colon	Sval1	Rat
Brain	Agap2	Rat
Kidney	Gm4756	Rat
Liver	Gm4756	Rat
Heart	Myh6	Rat
Esophagus	Krt80	Rat
Ileum	Plb1	Rat
Esophagus	Ly6d	Rat
Kidney	Tnfaip8	Rat
Pancreas	Rbpjl	Rat
Brain	Disp2	Rat
Brain	Pgbd5	Rat
Heart	Nnt	Rat
Stomach	Clic6	Rat
Duodenum	Slc23a4	Rat
Jejunum	Slc23a4	Rat
Ileum	Slc23a4	Rat
Brain	Sez6l2	Rat
Heart	Fhod3	Rat
Esophagus	Cldn17	Rat
Colon	Cnn1	Rat
Pancreas	Slc38a5	Rat
Esophagus	Eps8l1	Rat
Pancreas	Cpa2	Rat
Heart	Tnni3k	Rat
Brain	Tppp	Rat
Kidney	Cryz	Rat
Liver	Etnk2	Rat
Ileum	Ccl25	Rat
Duodenum	Ccl25	Rat
Jejunum	Ccl25	Rat
Liver	Ccl9	Rat
Liver	Ccl6	Rat
Liver	Pck1	Rat
Kidney	Pck1	Rat
Brain	Olig1	Rat
Liver	C8g	Rat
Ileum	Dgat1	Rat
Duodenum	Dgat1	Rat
Jejunum	Dgat1	Rat
Brain	Prkar1b	Rat
Ileum	Tubal3	Rat
Duodenum	Tubal3	Rat
Jejunum	Tubal3	Rat
Liver	Abcc6	Rat
Esophagus	Kprp	Rat
Duodenum	Slc51b	Rat
Jejunum	Slc51b	Rat
Ileum	Slc51b	Rat
Esophagus	Cyp2t4	Rat
Kidney	Dab2	Rat
Heart	Myl10	Rat
Stomach	Krt1	Rat
Liver	Cyp2d11	Rat
Liver	Cyp2d10	Rat
Liver	Cyp2d9	Rat
Liver	Cyp2d12	Rat
Liver	Cyp2d34	Rat
Brain	Stx1a	Rat
Kidney	Car5b	Rat
Brain	Prrt2	Rat
Brain	Abhd3	Rat
Esophagus	Grhl3	Rat
Brain	Klhl2	Rat
Brain	Adgrb1	Rat
Duodenum	AY761185	Rat
Jejunum	AY761185	Rat
Ileum	AY761185	Rat
Duodenum	Defa21	Rat
Jejunum	Defa21	Rat
Ileum	Defa21	Rat
Duodenum	Defa23	Rat
Jejunum	Defa23	Rat
Ileum	Defa23	Rat
Duodenum	Defa35	Rat
Jejunum	Defa35	Rat
Ileum	Defa35	Rat
Duodenum	Defa25	Rat
Jejunum	Defa25	Rat
Ileum	Defa25	Rat
Duodenum	Defa38	Rat
Jejunum	Defa38	Rat
Ileum	Defa38	Rat
Duodenum	Defa30	Rat
Jejunum	Defa30	Rat
Ileum	Defa30	Rat
Duodenum	Defa22	Rat
Jejunum	Defa22	Rat
Ileum	Defa22	Rat
Duodenum	Defa31	Rat
Jejunum	Defa31	Rat
Ileum	Defa31	Rat
Duodenum	Defa41	Rat
Jejunum	Defa41	Rat
Ileum	Defa41	Rat
Duodenum	Defa40	Rat
Jejunum	Defa40	Rat
Ileum	Defa40	Rat
Duodenum	Defa3	Rat
Jejunum	Defa3	Rat
Ileum	Defa3	Rat
Duodenum	Defa5	Rat
Jejunum	Defa5	Rat
Ileum	Defa5	Rat
Duodenum	Defa27	Rat
Jejunum	Defa27	Rat
Ileum	Defa27	Rat
Duodenum	Defa29	Rat
Jejunum	Defa29	Rat
Ileum	Defa29	Rat
Duodenum	Defa2	Rat
Jejunum	Defa2	Rat
Ileum	Defa2	Rat
Duodenum	Defa33	Rat
Jejunum	Defa33	Rat
Ileum	Defa33	Rat
Duodenum	Defa36	Rat
Jejunum	Defa36	Rat
Ileum	Defa36	Rat
Duodenum	Defa42	Rat
Jejunum	Defa42	Rat
Ileum	Defa42	Rat
Duodenum	Defa20	Rat
Jejunum	Defa20	Rat
Ileum	Defa20	Rat
Duodenum	Defa32	Rat
Jejunum	Defa32	Rat
Ileum	Defa32	Rat
Duodenum	Defa37	Rat
Jejunum	Defa37	Rat
Ileum	Defa37	Rat
Duodenum	Defa28	Rat
Jejunum	Defa28	Rat
Ileum	Defa28	Rat
Duodenum	Defa43	Rat
Jejunum	Defa43	Rat
Ileum	Defa43	Rat
Duodenum	Defa26	Rat
Jejunum	Defa26	Rat
Ileum	Defa26	Rat
Duodenum	Defa17	Rat
Jejunum	Defa17	Rat
Ileum	Defa17	Rat
Duodenum	Defa34	Rat
Jejunum	Defa34	Rat
Ileum	Defa34	Rat
Duodenum	Defa39	Rat
Jejunum	Defa39	Rat
Ileum	Defa39	Rat
Duodenum	Defa24	Rat
Jejunum	Defa24	Rat
Ileum	Defa24	Rat
Liver	Hoga1	Rat
Kidney	Hoga1	Rat
Stomach	Slc26a9	Rat
Brain	Clec2l	Rat
Liver	Gstm1	Rat
Brain	Diras1	Rat
Brain	Pak1	Rat
Stomach	Kcne2	Rat
Duodenum	Clca4b	Rat
Jejunum	Clca4b	Rat
Ileum	Clca4b	Rat
Duodenum	Clca4a	Rat
Jejunum	Clca4a	Rat
Ileum	Clca4a	Rat
Brain	Spock3	Rat
Esophagus	Gm49601	Rat
Brain	Gm49601	Rat
Esophagus	Septin5	Rat
Brain	Septin5	Rat
Pancreas	Cuzd1	Rat
Kidney	Kynu	Rat
Liver	Kynu	Rat
Ileum	Alpi	Rat
Duodenum	Alpi	Rat
Jejunum	Alpi	Rat
Stomach	Krt10	Rat
Brain	Atp2b2	Rat
Esophagus	Klk10	Rat
Stomach	Cldn18	Rat
Liver	Kng2	Rat
Liver	Kng1	Rat
Liver	Slco1b2	Rat
Brain	Dpp6	Rat
Brain	Srprb	Rat
Liver	Srprb	Rat
Brain	Trf	Rat
Liver	Trf	Rat
Esophagus	2300002M23Rik	Rat
Liver	Cfhr4	Rat
Liver	Cfhr2	Rat
Liver	Cfh	Rat
Liver	Asgr2	Rat
Heart	Myl2	Rat
Kidney	Slco1a6	Rat
Pancreas	Cpb1	Rat
Ileum	Sis	Rat
Duodenum	Sis	Rat
Jejunum	Sis	Rat
Liver	Haao	Rat
Kidney	Haao	Rat
Ileum	Ace2	Rat
Duodenum	Ace2	Rat
Jejunum	Ace2	Rat
Brain	Rasgef1a	Rat
Brain	Ncam1	Rat
Esophagus	Calml3	Rat
Kidney	Rab11fip3	Rat
Colon	Retnlb	Rat
Kidney	Acsm3	Rat
Esophagus	Krt4	Rat
Brain	Kcnip4	Rat
Liver	Tymp	Rat
Liver	Serpina1b	Rat
Liver	Serpina1d	Rat
Liver	Serpina1a	Rat
Liver	Serpina1c	Rat
Liver	Serpina1e	Rat
Brain	Ttyh1	Rat
Brain	Bex2	Rat
Liver	Slc17a3	Rat
Kidney	Slc17a3	Rat
Esophagus	Cyp2f2	Rat
Brain	Mapk8ip2	Rat
Brain	Mlc1	Rat
Liver	Cyp4f15	Rat
Brain	Dclk1	Rat
Esophagus	Jsrp1	Rat
Quadriceps	Jsrp1	Rat
Stomach	Adh7	Rat
Esophagus	Adh7	Rat
Esophagus	Myom3	Rat
Liver	Akr1c13	Rat
Liver	Akr1c12	Rat
Brain	Edil3	Rat
Esophagus	Sfn	Rat
Stomach	Chia1	Rat
Liver	Cyp2b13	Rat
Liver	Cyp2b9	Rat
Brain	Fam107a	Rat
Liver	Itih1	Rat
Liver	F10	Rat
Liver	Apon	Rat
Stomach	Vsig2	Rat
Esophagus	Lce1c	Rat
Ileum	Cfd	Rat
Pancreas	Cfd	Rat
Brain	Mapk8ip3	Rat
Esophagus	Klk14	Rat
Heart	Tnnt2	Rat
Brain	Dnm1	Rat
Stomach	Stfa3	Rat
Esophagus	Stfa3	Rat
Esophagus	Klk12	Rat
Brain	Ube2ql1	Rat
Kidney	Ggct	Rat
Liver	Fmo1	Rat
Kidney	Fmo1	Rat
Duodenum	Ces2c	Rat
Jejunum	Ces2c	Rat
Duodenum	Ifit1bl1	Rat
Jejunum	Ifit1bl1	Rat
Ileum	Ifit1bl1	Rat
Duodenum	Ifit1bl2	Rat
Jejunum	Ifit1bl2	Rat
Ileum	Ifit1bl2	Rat
Liver	Gm4952	Rat
Ileum	2010003K11Rik	Rat
Duodenum	2010003K11Rik	Rat
Jejunum	2010003K11Rik	Rat
Ileum	Sectm1b	Rat
Duodenum	Sectm1b	Rat
Jejunum	Sectm1b	Rat
Esophagus	Ppp1r27	Rat
Quadriceps	Ppp1r27	Rat
Liver	Gcgr	Rat
Brain	Atp6v0a1	Rat
Ileum	Glycam1	Rat
Brain	Pde1b	Rat
Duodenum	Sult6b2	Rat
Jejunum	Sult6b2	Rat
Kidney	Slco1a1	Rat
Liver	Slco1a1	Rat
Liver	Rtp3	Rat
Heart	Spink8	Rat
Liver	Pxmp2	Rat
Quadriceps	Tceal7	Rat
Brain	Gprasp2	Rat
Ileum	Slc10a2	Rat
Brain	Cdk5r2	Rat
Stomach	Cxcl17	Rat
Brain	Sfxn5	Rat
Brain	Serp2	Rat
Kidney	Upb1	Rat
Liver	Upb1	Rat
Kidney	Akr1cl	Rat
Liver	Ahsg	Rat
Esophagus	Gm4847	Rat
Esophagus	Sbk2	Rat
Kidney	Cdkl1	Rat
Ileum	Gimap7	Rat
Quadriceps	Lsmem1	Rat
Stomach	Gm94	Rat
Esophagus	Gm94	Rat
Liver	Aass	Rat
Kidney	Aass	Rat
Brain	Fam219a	Rat
Kidney	Pm20d1	Rat
Heart	Lbh	Rat
Colon	Abo	Rat
Stomach	Gm49392	Rat
Stomach	Gm49391	Rat
Stomach	Ctla2b	Rat
Stomach	Ctla2a	Rat
Kidney	Bhmt2	Rat
Liver	Bhmt2	Rat
Esophagus	Myoz1	Rat
Quadriceps	Myoz1	Rat
Esophagus	Mir675	Rat
Quadriceps	Mir675	Rat
Liver	Acsm1	Rat
Kidney	Acsm1	Rat
Kidney	Sult1c2	Rat
Stomach	Mucl3	Rat
Liver	Pglyrp2	Rat
Esophagus	Serpina9	Rat
Quadriceps	Acyp2	Rat
Liver	Gm45753	Rat
Liver	Cyp4v3	Rat
Liver	Cfhr1	Rat
Brain	Ncald	Rat
Brain	Cpe	Rat
Liver	Uroc1	Rat
Liver	Kyat3	Rat
Esophagus	Them5	Rat
Kidney	Spp1	Rat
Brain	Rnf14	Rat
Kidney	Ak4	Rat
Liver	Pate12	Rat
Liver	Pate11	Rat
Brain	Gria1	Rat
Brain	Impact	Rat
Brain	Scd2	Rat
Colon	Mptx2	Rat
Colon	Mptx1	Rat
Esophagus	Cacna1s	Rat
Quadriceps	Cacna1s	Rat
Liver	Glyctk	Rat
Kidney	Glyctk	Rat
Duodenum	Pdx1	Rat
Jejunum	Pdx1	Rat
Liver	Ugt2b5	Rat
Liver	Ugt2b37	Rat
Liver	Ugt2b38	Rat
Esophagus	Slpi	Rat
Liver	Abcc2	Rat
Esophagus	Tmprss11a	Rat
Liver	C3	Rat
Brain	Ak5	Rat
Brain	Cbx6	Rat
Brain	Sult4a1	Rat
Colon	St6galnac6	Rat
Kidney	Aldh1l1	Rat
Liver	Aldh1l1	Rat
Esophagus	Atp2a1	Rat
Quadriceps	Atp2a1	Rat
Brain	Ptprs	Rat
Brain	Wasf1	Rat
Liver	Apoc3	Rat
Brain	Tubb4a	Rat
Liver	Mup9	Rat
Liver	Mup1	Rat
Liver	Mup10	Rat
Liver	Mup11	Rat
Liver	Mup12	Rat
Liver	Mup22	Rat
Liver	Mup13	Rat
Liver	Mup14	Rat
Liver	Mup15	Rat
Liver	Mup16	Rat
Liver	Mup17	Rat
Liver	Mup18	Rat
Liver	Mup19	Rat
Liver	Mup5	Rat
Liver	Mup20	Rat
Liver	Mup3	Rat
Liver	Mup21	Rat
Liver	Mup4	Rat
Liver	Mup6	Rat
Liver	Mup7	Rat
Liver	Mup2	Rat
Liver	Mup8	Rat
Kidney	Ggt1	Rat
Liver	Gstz1	Rat
Brain	Gnb5	Rat
Liver	Sult2a2	Rat
Liver	Sult2a1	Rat
Liver	Sult2a4	Rat
Liver	Sult2a3	Rat
Liver	Sult2a6	Rat
Liver	Sult2a7	Rat
Liver	Sult2a5	Rat
Heart	Tuba8	Rat
Quadriceps	Tuba8	Rat
Brain	Apod	Rat
Liver	Urah	Rat
Esophagus	Psors1c2	Rat
Brain	Zwint	Rat
Liver	Pros1	Rat
Ileum	Ces2e	Rat
Duodenum	Ces2e	Rat
Jejunum	Ces2e	Rat
Liver	Gckr	Rat
Brain	Wasf3	Rat
Brain	Ntsr2	Rat
Quadriceps	Ak1	Rat
Brain	Rnf187	Rat
Ileum	Marco	Rat
Ileum	Mep1b	Rat
Duodenum	Mep1b	Rat
Jejunum	Mep1b	Rat
Brain	Tafa5	Rat
Brain	Nat8l	Rat
Esophagus	Gas7	Rat
Brain	Gas7	Rat
Liver	Cyp2c67	Rat
Liver	Cyp2c68	Rat
Liver	Cyp2c40	Rat
Liver	Cyp2c69	Rat
Brain	Atp9a	Rat
Brain	Reep2	Rat
Kidney	Rab29	Rat
Esophagus	Myh1	Rat
Quadriceps	Myh1	Rat
Brain	Hapln4	Rat
Ileum	Npc1l1	Rat
Duodenum	Npc1l1	Rat
Jejunum	Npc1l1	Rat
Brain	Gprasp1	Rat
Brain	Slc6a17	Rat
Kidney	Afmid	Rat
Liver	Afmid	Rat
Esophagus	Cdsn	Rat
Brain	Nrxn1	Rat
Liver	Urad	Rat
Stomach	Gm5478	Rat
Esophagus	Gm5478	Rat
Stomach	Krt5	Rat
Esophagus	Krt5	Rat
Kidney	Fbln5	Rat
Brain	Nrn1	Rat
Liver	Abcb11	Rat
Brain	Hpcal4	Rat
Stomach	Tmem45a2	Rat
Esophagus	Tmem45a2	Rat
Duodenum	Treh	Rat
Jejunum	Treh	Rat
Brain	Camk2b	Rat
Brain	Ppp1r9b	Rat
Ileum	Clec2h	Rat
Duodenum	Clec2h	Rat
Jejunum	Clec2h	Rat
Ileum	Clec2e	Rat
Duodenum	Clec2e	Rat
Jejunum	Clec2e	Rat
Brain	Shank3	Rat
Brain	Bend6	Rat
Brain	Cyria	Rat
Brain	Dnajc6	Rat
Liver	Spp2	Rat
Kidney	Spp2	Rat
Brain	Stmn4	Rat
Liver	Cfi	Rat
Quadriceps	Tmem233	Rat
Brain	Scamp5	Rat
Kidney	Cgnl1	Rat
Esophagus	Sim2	Rat
Brain	Gria2	Rat
Stomach	Vsig1	Rat
Brain	Prkcg	Rat
Kidney	Aqp2	Rat
Brain	Snrpn	Rat
Liver	Pemt	Rat
Esophagus	Nccrp1	Rat
Brain	Pacsin1	Rat
Pancreas	Arf3	Rat
Kidney	Dao	Rat
Esophagus	Fam25c	Rat
Kidney	Pecr	Rat
Liver	Pecr	Rat
Pancreas	Gcat	Rat
Liver	Hps5	Rat
Stomach	Dmkn	Rat
Esophagus	Dmkn	Rat
Brain	Zcchc18	Rat
Stomach	Muc5ac	Rat
Kidney	Lrp2	Rat
Brain	Cacng7	Rat
Esophagus	Dsc1	Rat
Esophagus	Mybpc1	Rat
Quadriceps	Mybpc1	Rat
Liver	Acnat2	Rat
Liver	Acnat1	Rat
Brain	Abr	Rat
Kidney	Arhgap24	Rat
Esophagus	Trex2	Rat
Kidney	Slc12a3	Rat
Brain	Gnai1	Rat
Stomach	Pla1a	Rat
Brain	Scn3b	Rat
Kidney	Slc47a1	Rat
Liver	Prodh2	Rat
Kidney	Prodh2	Rat
Heart	Myzap	Rat
Liver	Nsdhl	Rat
Colon	Myh11	Rat
Brain	Phactr3	Rat
Kidney	Tinag	Rat
Kidney	Errfi1	Rat
Liver	Errfi1	Rat
Brain	Ppp2r2c	Rat
Brain	Mapk8ip1	Rat
Brain	Tyro3	Rat
Duodenum	Akp3	Rat
Jejunum	Akp3	Rat
Kidney	Tmem52b	Rat
Heart	Popdc2	Rat
Brain	Sptbn2	Rat
Brain	Camkv	Rat
Kidney	Kcnj1	Rat
Brain	Adcy1	Rat
Liver	Bbox1	Rat
Brain	Ddn	Rat
Brain	Syp	Rat
Stomach	Krt78	Rat
Esophagus	Krt78	Rat
Brain	6330403K07Rik	Rat
Brain	Kifc2	Rat
Ileum	Ighv13-2	Rat
Liver	Lipc	Rat
Kidney	Iah1	Rat
Quadriceps	Kcnc4	Rat
Kidney	Tmem150a	Rat
Liver	Tmem150a	Rat
Liver	Dio1	Rat
Kidney	Dio1	Rat
Stomach	Psca	Rat
Brain	Spock2	Rat
Liver	Tas1r2	Rat
Kidney	Tas1r2	Rat
Liver	Aqp9	Rat
Liver	Slc22a27	Rat
Liver	Slc22a28	Rat
Liver	Slc22a29	Rat
Liver	Slc22a30	Rat
Quadriceps	H19	Mouse
Esophagus	H19	Mouse
Liver	Apoh	Mouse
Kidney	Slc22a18	Mouse
Pancreas	Ins2	Mouse
Liver	Pemt	Mouse
Brain	Sez6	Mouse
Kidney	Haao	Mouse
Liver	Haao	Mouse
Stomach	Slc5a5	Mouse
Quadriceps	Scn4a	Mouse
Liver	Ftcd	Mouse
Colon	Slc26a3	Mouse
Liver	Hpn	Mouse
Kidney	Hpn	Mouse
Esophagus	Rarg	Mouse
Brain	Rnd2	Mouse
Heart	Fndc5	Mouse
Esophagus	Pax9	Mouse
Quadriceps	Tcea3	Mouse
Kidney	Ddt	Mouse
Liver	Ddt	Mouse
Liver	Tat	Mouse
Kidney	Folh1	Mouse
Kidney	Folr1	Mouse
Stomach	Vsig2	Mouse
Heart	Mybpc3	Mouse
Liver	Nr1h3	Mouse
Kidney	Napsa	Mouse
Brain	Peg3	Mouse
Liver	Pon1	Mouse
Liver	Gnmt	Mouse
Liver	Apoc2	Mouse
Duodenum	Apoc2	Mouse
Jejunum	Apoc2	Mouse
Liver	Cyp2c29	Mouse
Brain	Car11	Mouse
Brain	Dlgap1	Mouse
Pancreas	Fkbp11	Mouse
Stomach	Pld3	Mouse
Brain	Pld3	Mouse
Brain	Elavl3	Mouse
Brain	Phyhip	Mouse
Kidney	Inmt	Mouse
Liver	Inmt	Mouse
Liver	Sec14l2	Mouse
Liver	Cp	Mouse
Brain	Calb2	Mouse
Liver	Insig2	Mouse
Kidney	Gcdh	Mouse
Liver	Gcdh	Mouse
Stomach	Nqo1	Mouse
Duodenum	Gstm3	Mouse
Jejunum	Gstm3	Mouse
Brain	Kifc2	Mouse
Brain	Eno2	Mouse
Brain	Sst	Mouse
Stomach	Sst	Mouse
Stomach	Ctse	Mouse
Brain	Pcp2	Mouse
Pancreas	Tmed11	Mouse
Esophagus	Crabp2	Mouse
Brain	Bcan	Mouse
Esophagus	Thop1	Mouse
Brain	Matk	Mouse
Quadriceps	Nmrk2	Mouse
Brain	Syt5	Mouse
Brain	Prkacb	Mouse
Brain	Slc1a2	Mouse
Kidney	Ndrg1	Mouse
Brain	Cadm3	Mouse
Brain	Slc1a3	Mouse
Stomach	Atp4a	Mouse
Quadriceps	Tmod4	Mouse
Liver	Apoa2	Mouse
Quadriceps	Pvalb	Mouse
Duodenum	Dnase1	Mouse
Jejunum	Dnase1	Mouse
Kidney	Dnase1	Mouse
Esophagus	Eps8l1	Mouse
Kidney	Clcnkb	Mouse
Heart	Hspb7	Mouse
Esophagus	Crip2	Mouse
Heart	Crip2	Mouse
Liver	Pgrmc1	Mouse
Esophagus	Nectin4	Mouse
Esophagus	Actn3	Mouse
Quadriceps	Actn3	Mouse
Kidney	Slc34a3	Mouse
Brain	Nsmf	Mouse
Liver	Itih3	Mouse
Liver	Itih1	Mouse
Quadriceps	Prkag3	Mouse
Brain	Rundc3a	Mouse
Brain	Aplp1	Mouse
Stomach	Krt23	Mouse
Esophagus	Krt23	Mouse
Brain	Cnp	Mouse
Brain	Hap1	Mouse
Brain	Syngr3	Mouse
Esophagus	Casq1	Mouse
Quadriceps	Casq1	Mouse
Brain	Stx1a	Mouse
Pancreas	Crlf1	Mouse
Brain	Abhd8	Mouse
Heart	Fhl2	Mouse
Brain	Clstn3	Mouse
Liver	Mgst1	Mouse
Brain	Gprc5b	Mouse
Liver	Rarres2	Mouse
Brain	Syn2	Mouse
Liver	Sardh	Mouse
Kidney	Sardh	Mouse
Brain	Snap47	Mouse
Brain	Rnf112	Mouse
Kidney	Slc47a1	Mouse
Liver	Psen2	Mouse
Kidney	Acaa1b	Mouse
Liver	Acaa1b	Mouse
Brain	Gabra1	Mouse
Ileum	Slc5a1	Mouse
Duodenum	Slc5a1	Mouse
Jejunum	Slc5a1	Mouse
Quadriceps	Adssl1	Mouse
Kidney	Odc1	Mouse
Duodenum	Cpb1	Mouse
Jejunum	Cpb1	Mouse
Pancreas	Cpb1	Mouse
Esophagus	Pinlyp	Mouse
Esophagus	Gltp	Mouse
Kidney	Mogat1	Mouse
Stomach	Mogat1	Mouse
Brain	Adgrl1	Mouse
Ileum	1810065E05Rik	Mouse
Colon	1810065E05Rik	Mouse
Brain	Clip3	Mouse
Heart	Myl2	Mouse
Duodenum	Gip	Mouse
Jejunum	Gip	Mouse
Liver	Clec4f	Mouse
Brain	Kif1a	Mouse
Liver	Dnajb9	Mouse
Liver	C8g	Mouse
Heart	Ptgds	Mouse
Brain	Ptgds	Mouse
Esophagus	Clic3	Mouse
Brain	Map2	Mouse
Brain	Gdi1	Mouse
Kidney	Cltrn	Mouse
Ileum	Ace2	Mouse
Duodenum	Ace2	Mouse
Jejunum	Ace2	Mouse
Kidney	Ppt2	Mouse
Brain	Prrt1	Mouse
Duodenum	2310057J18Rik	Mouse
Jejunum	2310057J18Rik	Mouse
Esophagus	Anxa9	Mouse
Liver	Amdhd1	Mouse
Kidney	Hsd11b1	Mouse
Liver	Hsd11b1	Mouse
Brain	Kcnq2	Mouse
Liver	Tmprss6	Mouse
Esophagus	Slpi	Mouse
Pancreas	Rbpjl	Mouse
Brain	Cntnap1	Mouse
Esophagus	Gsdma	Mouse
Stomach	Gsdma2	Mouse
Esophagus	Tnnc2	Mouse
Quadriceps	Tnnc2	Mouse
Liver	Vtn	Mouse
Brain	Aldoc	Mouse
Liver	Pipox	Mouse
Kidney	Pipox	Mouse
Ileum	Hnf4g	Mouse
Duodenum	Hnf4g	Mouse
Jejunum	Hnf4g	Mouse
Brain	Slc12a5	Mouse
Heart	Jph2	Mouse
Quadriceps	Jph2	Mouse
Kidney	Wfdc15b	Mouse
Kidney	Gpx3	Mouse
Brain	6330403K07Rik	Mouse
Kidney	Slc13a3	Mouse
Brain	Trim37	Mouse
Duodenum	Mmp7	Mouse
Jejunum	Mmp7	Mouse
Ileum	Mmp7	Mouse
Esophagus	Dusp14	Mouse
Brain	Sult4a1	Mouse
Ileum	Tm4sf5	Mouse
Duodenum	Tm4sf5	Mouse
Jejunum	Tm4sf5	Mouse
Quadriceps	Dnase1l1	Mouse
Stomach	Aldh3a1	Mouse
Esophagus	Aldh3a1	Mouse
Liver	Ccl9	Mouse
Brain	Scrn1	Mouse
Brain	Atp6v0a1	Mouse
Stomach	Krt10	Mouse
Quadriceps	Trdn	Mouse
Brain	Lrp11	Mouse
Brain	Wasf1	Mouse
Esophagus	Hebp2	Mouse
